Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Campeau Richard C.A.Q.-E.F.L.;Émond Jean-Pierre C.Q.;Eyangos Christina P.L.Q./Q.L.P.;Karteris Christos P.C.Q-E.E.D.;Keita Bourama P.V.Q./G.P.Q.;Mc Nicoll Charles E.A.;St-Gelais Grace D.D.;St-Pierre Plamondon Paul P.Q.;B.V.;B.R.
370;Camille-Laurin;2022-10-03;G;Montréal, v;342;;1;351;43;0;34;12;11;0;0;45;145;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;342;;2;366;36;0;23;10;9;1;1;61;141;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;342;;3;349;34;3;19;13;10;0;1;58;138;11
370;Camille-Laurin;2022-10-03;G;Montréal, v;342;;4;366;53;1;17;12;10;0;0;87;180;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;342;;5;340;56;2;32;9;8;0;1;83;191;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;343;;6;402;26;2;39;17;8;0;2;42;136;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;343;;7;360;38;0;25;10;11;0;1;64;149;11
370;Camille-Laurin;2022-10-03;G;Montréal, v;343;;8;395;27;2;44;14;8;0;0;81;176;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;343;;9;406;27;3;28;14;4;1;0;95;172;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;343;;10;388;40;1;16;5;8;0;1;75;146;14
370;Camille-Laurin;2022-10-03;G;Montréal, v;343;;11;391;34;0;19;6;5;1;0;60;125;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;;12;370;55;0;26;8;6;0;0;57;152;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;;13;363;29;2;31;6;12;0;0;80;160;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;;14;350;38;3;25;13;4;1;2;86;172;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;;15;329;30;0;15;6;4;0;1;70;126;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;;16;353;44;3;23;14;5;0;1;84;174;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;345;;17;334;34;0;32;7;8;0;0;66;147;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;345;;18;343;34;0;28;3;3;0;0;38;106;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;345;;19;348;40;0;25;12;6;1;0;28;112;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;345;;20;349;28;2;38;13;5;0;2;45;133;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;345;;21;352;32;1;41;14;3;0;0;22;113;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;345;;22;349;24;1;41;15;4;0;0;38;123;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;23;361;36;1;16;19;9;0;0;80;161;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;24;347;30;5;19;12;5;0;0;57;128;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;25;359;27;3;23;13;6;1;0;50;123;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;26;354;41;0;29;5;2;0;0;52;129;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;27;334;24;1;32;7;1;1;0;29;95;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;28;356;31;1;35;5;3;0;1;40;116;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;29;356;23;0;32;7;2;0;0;41;105;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;30;340;37;2;25;18;9;0;0;40;131;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;31;325;31;0;24;3;6;0;0;35;99;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;346;;32;351;47;7;21;4;4;0;0;47;130;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;347;;33;341;32;1;37;11;6;1;1;48;137;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;347;;34;308;30;2;27;13;6;1;0;61;140;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;347;;35;377;36;1;64;12;6;0;0;54;173;1
370;Camille-Laurin;2022-10-03;G;Montréal, v;347;;36;305;29;2;26;12;5;0;0;67;141;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;347;;37;289;24;0;24;7;2;0;0;79;136;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;;38;363;25;1;55;8;3;1;0;26;119;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;;39;342;27;0;22;9;2;0;1;69;130;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;;40;390;26;0;25;6;2;0;0;85;144;1
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;;41;372;33;2;22;9;4;0;0;57;127;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;;42;360;43;1;17;4;3;0;0;44;112;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;349;;43;343;41;1;24;10;3;0;0;51;130;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;349;;44;348;47;1;20;12;2;0;0;90;172;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;349;;45;330;40;1;12;5;2;0;0;96;156;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;349;;46;336;44;0;23;10;4;0;0;111;192;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;349;;47;348;47;0;19;17;2;0;0;90;175;11
370;Camille-Laurin;2022-10-03;G;Montréal, v;349;;48;347;47;4;18;11;5;0;0;112;197;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;350;;49;386;45;3;26;10;2;1;0;71;158;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;350;;50;348;32;2;31;6;5;1;0;44;121;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;350;;51;336;35;0;26;9;3;0;0;43;116;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;350;;52;349;53;3;30;9;2;1;0;85;183;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;350;;53;347;43;4;22;9;6;0;1;84;169;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;54;340;34;1;17;12;3;0;0;82;149;13
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;55;347;22;0;14;13;6;2;1;32;90;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;56;350;44;2;31;9;7;0;0;46;139;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;57;351;38;2;22;10;0;0;0;51;123;13
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;58;348;30;2;10;3;3;0;0;74;122;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;59;367;23;4;9;17;10;0;1;93;157;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;60;355;32;1;11;10;3;0;0;81;138;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;351;;61;320;37;2;15;10;6;0;0;79;149;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;62;386;35;3;36;12;5;0;0;30;121;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;63;328;37;4;17;7;3;0;0;50;118;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;64;387;30;5;29;6;5;0;3;83;161;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;65;368;31;1;29;8;7;0;0;41;117;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;66;358;30;1;21;3;7;0;0;88;150;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;67;363;35;0;19;10;3;0;0;61;128;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;68;367;52;4;26;2;6;0;0;69;159;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;352;;69;349;35;1;15;7;0;0;0;46;104;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;;70;353;40;0;26;6;3;0;1;75;151;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;;71;392;45;3;16;11;4;0;0;98;177;1
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;;72;373;40;0;34;14;3;0;1;81;173;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;;73;365;32;1;34;8;3;0;1;55;134;16
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;;74;380;40;1;18;8;7;0;0;83;157;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;;75;360;40;1;48;21;7;0;0;53;170;11
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;;76;373;37;1;33;8;3;0;1;81;164;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;354;;77;376;26;1;22;10;4;1;0;69;133;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;354;;78;411;37;1;22;11;6;1;0;78;156;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;354;;79;381;44;2;20;3;5;1;0;78;153;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;354;;80;390;58;0;34;12;6;0;0;98;208;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;354;;81;380;24;2;20;12;4;0;0;78;140;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;354;;82;398;25;2;35;11;5;0;0;78;156;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;355;;83;363;31;5;14;11;2;0;0;73;136;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;355;;84;426;37;0;22;12;3;1;0;67;142;12
370;Camille-Laurin;2022-10-03;G;Montréal, v;355;;85;362;34;1;14;10;1;0;0;68;128;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;355;;86;391;19;1;13;19;3;1;0;73;129;15
370;Camille-Laurin;2022-10-03;G;Montréal, v;355;;87;397;36;1;17;14;5;0;0;64;137;11
370;Camille-Laurin;2022-10-03;G;Montréal, v;355;;88;365;35;2;18;10;4;0;0;82;151;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;356;;89;338;44;2;39;17;7;1;0;54;164;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;356;;90;362;35;4;35;21;0;0;0;33;128;17
370;Camille-Laurin;2022-10-03;G;Montréal, v;356;;91;372;22;2;35;9;5;0;0;51;124;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;356;;92;357;26;3;44;16;2;0;0;42;133;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;356;;93;371;31;2;30;9;5;0;0;74;151;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;356;;94;374;32;4;30;9;9;1;1;53;139;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;356;;95;367;28;0;33;6;7;0;0;43;117;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;96;401;33;2;51;13;7;0;2;59;167;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;97;394;41;2;36;18;4;0;0;53;154;12
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;98;404;25;0;40;20;2;0;2;61;150;14
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;99;394;35;1;34;5;3;0;0;71;149;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;100;368;49;0;23;5;1;1;0;57;136;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;101;411;54;1;46;19;1;0;0;61;182;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;102;390;36;2;50;13;3;1;0;87;192;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;103;388;44;1;35;3;5;0;0;96;184;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;357;;104;394;36;2;53;14;4;0;0;56;165;11
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;;105;360;26;1;43;16;4;0;0;37;127;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;;106;367;28;1;55;12;7;1;0;42;146;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;;107;355;37;0;24;11;3;0;0;69;144;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;;108;352;34;2;62;5;2;0;0;48;153;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;;109;335;25;1;37;7;4;1;0;25;100;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;;110;356;53;2;30;12;2;0;0;38;137;11
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;;111;354;29;1;73;12;1;0;1;55;172;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;112;392;31;0;69;11;4;1;2;50;168;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;113;371;53;0;45;10;2;3;0;57;170;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;114;375;72;2;24;15;2;0;0;81;196;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;115;350;31;1;25;18;2;0;0;79;156;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;359;;116;365;47;3;24;12;3;0;0;70;159;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;117;392;49;0;60;11;5;1;0;71;197;15
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;118;395;42;0;39;10;1;0;0;74;166;9
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;119;390;44;0;21;13;5;0;0;76;159;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;120;368;38;2;17;10;4;0;0;72;143;3
370;Camille-Laurin;2022-10-03;G;Montréal, v;360;;121;406;41;4;21;16;3;0;0;59;144;5
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;122;390;19;1;15;15;0;0;0;73;123;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;123;399;33;1;19;28;3;0;0;76;160;6
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;124A;229;21;2;13;8;3;0;0;45;92;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;124B;230;29;4;12;3;2;0;0;43;93;2
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;125;374;40;0;25;9;2;0;0;55;131;8
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;126;380;28;2;19;18;4;0;0;66;137;10
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;127;409;42;2;20;13;3;0;0;89;169;7
370;Camille-Laurin;2022-10-03;G;Montréal, v;424;;128;393;46;1;18;14;3;0;1;78;161;4
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;Regr. BVO-12;500;286;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;Regr. BVO-12;501;223;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;345;Regr. BVO-19;502;109;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;Regr. BVO-41;503;188;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;Regr. BVO-41;504;211;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;348;Regr. BVO-42;505;282;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;Regr. BVO-71;506;126;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;Regr. BVO-73;507;122;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;353;Regr. BVO-73;508;87;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;355;Regr. BVO-83;509;52;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;Regr. BVO-109;510;43;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;Regr. BVO-111;511;191;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;Regr. BVO-12;512;313;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;344;Regr. BVO-12;513;191;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Montréal, v;358;Regr. BVO-111;514;252;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;BVA1: SV no 1 à 6;;;;0;83;0;16;8;2;0;0;71;180;48
370;Camille-Laurin;2022-10-03;G;BVA2: SV no 7 à 12;;;;0;161;1;31;13;3;0;0;164;373;106
370;Camille-Laurin;2022-10-03;G;BVA3: SV no 13 à 18;;;;0;159;0;26;11;4;0;0;138;338;101
370;Camille-Laurin;2022-10-03;G;BVA4: SV no 19 à 24;;;;0;157;2;61;19;2;0;0;100;341;75
370;Camille-Laurin;2022-10-03;G;BVA5: SV no 25 à 30;;;;0;183;1;42;20;6;0;2;86;340;72
370;Camille-Laurin;2022-10-03;G;BVA6: SV no 31 à 36;;;;0;136;1;29;18;0;1;0;112;297;71
370;Camille-Laurin;2022-10-03;G;BVA7: SV no 37 à 42;;;;0;233;0;43;26;1;1;1;214;519;83
370;Camille-Laurin;2022-10-03;G;BVA8: SV no 43 à 48;;;;0;120;2;17;19;0;0;0;141;299;48
370;Camille-Laurin;2022-10-03;G;BVA9: SV no 49 à 54;;;;0;89;0;14;17;3;0;0;96;219;50
370;Camille-Laurin;2022-10-03;G;BVA10: SV no 55 à 60;;;;0;126;3;10;17;3;1;3;111;274;61
370;Camille-Laurin;2022-10-03;G;BVA11: SV no 61 à 66;;;;0;173;1;23;18;2;0;0;151;368;73
370;Camille-Laurin;2022-10-03;G;BVA12: SV no 67 à 72;;;;0;191;2;51;22;3;0;0;267;536;63
370;Camille-Laurin;2022-10-03;G;BVA13: SV no 73 à 76, 81;;;;0;139;0;30;14;0;0;0;133;316;55
370;Camille-Laurin;2022-10-03;G;BVA14: SV no 77 à 80, 82;;;;0;153;3;29;16;0;0;1;153;355;71
370;Camille-Laurin;2022-10-03;G;BVA15: SV no 83 à 88;;;;0;192;0;16;22;2;0;0;168;400;93
370;Camille-Laurin;2022-10-03;G;BVA16: SV no 89 à 94;;;;0;171;2;58;19;0;1;1;113;365;68
370;Camille-Laurin;2022-10-03;G;BVA17: SV no 95 à 100;;;;0;190;0;52;31;1;1;0;190;465;92
370;Camille-Laurin;2022-10-03;G;BVA18: SV no 101 à 106;;;;0;140;0;72;14;0;0;0;153;379;109
370;Camille-Laurin;2022-10-03;G;BVA19: SV no 107 à 112;;;;0;128;1;38;18;1;0;0;91;277;64
370;Camille-Laurin;2022-10-03;G;BVA20: SV no 113 à 118;;;;0;150;1;30;28;1;0;0;122;332;67
370;Camille-Laurin;2022-10-03;G;BVA21: SV no 119 à 123;;;;0;172;0;19;21;0;0;0;103;315;51
370;Camille-Laurin;2022-10-03;G;BVA22: SV no 124 à 128;;;;0;137;1;22;13;2;0;0;137;312;79
370;Camille-Laurin;2022-10-03;G;Vote en installation d'hébergement;;;;0;911;18;202;23;4;3;5;379;1545;115
370;Camille-Laurin;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;18;0;1;0;0;0;0;12;31;3
370;Camille-Laurin;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;154;2;59;46;3;3;0;172;439;52
370;Camille-Laurin;2022-10-03;G;Vote hors circonscription;;;;0;57;6;81;15;33;0;1;162;355;106
370;Camille-Laurin;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;30;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;18;0;0;0;0;0;0;0;0;0;0
370;Camille-Laurin;2022-10-03;G;Total de la circonscription;;;;49518;9165;241;4724;1869;641;42;49;11959;28690;2728
370;Camille-Laurin;2022-10-03;G;Majorité en faveur de Paul St-Pierre Plamondon : 2794;;;;;;;;;;;;;;
