Code;Circonscription;Date scrutin;Étendue;Nom des Municipalités;Secteur;Regroupement;S.V.;É.I.;Beauchamp François C.Q.;Bélizaire Annie P.L.Q./Q.L.P.;Corbeil Daniel P.Q.;Jeannotte Chantale C.A.Q.-E.F.L.;Paquin Claude P.C.Q-E.E.D.;Roy Jasmine Q.S.;B.V.;B.R.
594;Labelle;2022-10-03;G;Lac-Oscar, no;1;Regr. BVO-5;1;1;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Lac-Douaire, no;1;Regr. BVO-3;2;3;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Sainte-Anne-du-Lac, m;1;;3;254;4;7;26;53;9;10;109;5
594;Labelle;2022-10-03;G;Sainte-Anne-du-Lac, m;1;;4;249;0;3;22;63;14;14;116;4
594;Labelle;2022-10-03;G;Mont-Saint-Michel, m;1;;5;259;2;4;21;48;15;13;103;0
594;Labelle;2022-10-03;G;Mont-Saint-Michel, m;1;;6;254;1;3;24;44;20;14;106;3
594;Labelle;2022-10-03;G;Lac-Saint-Paul, m;1;;7;245;1;4;17;58;21;12;113;2
594;Labelle;2022-10-03;G;Lac-Saint-Paul, m;1;;8;250;0;1;13;52;15;8;89;1
594;Labelle;2022-10-03;G;Chute-Saint-Philippe, m;1;;9;414;0;5;26;78;16;26;151;0
594;Labelle;2022-10-03;G;Chute-Saint-Philippe, m;1;;10;414;4;9;19;102;12;24;170;4
594;Labelle;2022-10-03;G;Ferme-Neuve, m;1;;11;387;2;4;39;45;14;23;127;1
594;Labelle;2022-10-03;G;Ferme-Neuve, m;1;;12;377;0;4;33;89;12;15;153;6
594;Labelle;2022-10-03;G;Ferme-Neuve, m;1;;13;384;1;4;24;84;11;21;145;0
594;Labelle;2022-10-03;G;Ferme-Neuve, m;1;;14;377;3;2;19;73;9;19;125;4
594;Labelle;2022-10-03;G;Ferme-Neuve, m;1;;15;389;1;6;23;65;6;19;120;3
594;Labelle;2022-10-03;G;Ferme-Neuve, m;1;;16;389;0;2;38;77;7;16;140;141
594;Labelle;2022-10-03;G;Mont-Laurier, v;1;;17;221;1;4;21;50;5;13;94;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;1;;18;218;1;4;14;63;3;12;97;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;2;;19;414;4;7;22;75;22;22;152;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;2;;20;410;0;5;33;87;24;23;172;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;2;;21;400;2;3;22;96;14;19;156;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;2;;22;412;0;6;27;88;18;23;162;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;3;;23;411;2;2;31;72;5;22;134;7
594;Labelle;2022-10-03;G;Mont-Laurier, v;3;;24;404;2;4;30;48;8;15;107;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;3;;25;406;0;3;29;63;19;27;141;1
594;Labelle;2022-10-03;G;Mont-Laurier, v;3;;26;403;0;4;26;92;6;26;154;4
594;Labelle;2022-10-03;G;Mont-Laurier, v;3;;27;411;0;9;21;55;7;16;108;3
594;Labelle;2022-10-03;G;Mont-Laurier, v;3;;28;404;1;1;20;57;16;21;116;5
594;Labelle;2022-10-03;G;Mont-Laurier, v;4;;29;370;1;3;25;40;12;21;102;1
594;Labelle;2022-10-03;G;Mont-Laurier, v;4;;30;382;2;7;12;41;5;22;89;1
594;Labelle;2022-10-03;G;Mont-Laurier, v;4;;31;383;2;1;46;64;10;20;143;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;4;;32;381;1;2;21;66;14;18;122;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;;33;378;1;2;12;46;3;10;74;3
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;;34;397;1;3;25;45;11;17;102;1
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;;35;400;2;3;28;63;8;23;127;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;;36;394;0;6;43;100;9;24;182;4
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;;37;406;3;14;26;77;16;25;161;4
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;;38;402;1;0;35;70;10;19;135;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;;39;384;0;4;18;69;7;27;125;4
594;Labelle;2022-10-03;G;Mont-Laurier, v;6;;40;358;0;6;36;55;10;21;128;3
594;Labelle;2022-10-03;G;Mont-Laurier, v;6;;41;356;0;5;22;48;9;25;109;3
594;Labelle;2022-10-03;G;Mont-Laurier, v;6;;42;355;1;4;18;38;7;18;86;1
594;Labelle;2022-10-03;G;Mont-Laurier, v;6;;43;360;2;3;10;77;7;14;113;2
594;Labelle;2022-10-03;G;Mont-Laurier, v;6;;44;354;1;3;22;49;16;18;109;1
594;Labelle;2022-10-03;G;Mont-Laurier, v;6;;45;349;0;6;20;72;11;30;139;1
594;Labelle;2022-10-03;G;Mont-Laurier, v;6;;46;360;0;3;29;69;3;30;134;3
594;Labelle;2022-10-03;G;Lac-des-Écorces, m;1;;47;393;1;6;54;94;24;28;207;1
594;Labelle;2022-10-03;G;Lac-des-Écorces, m;1;;48;389;0;7;23;91;19;26;166;2
594;Labelle;2022-10-03;G;Lac-des-Écorces, m;1;;49;395;0;5;37;83;17;39;181;2
594;Labelle;2022-10-03;G;Lac-des-Écorces, m;1;;50;387;1;8;23;91;20;28;171;4
594;Labelle;2022-10-03;G;Lac-des-Écorces, m;2;;51;402;1;12;56;84;26;25;204;2
594;Labelle;2022-10-03;G;Lac-des-Écorces, m;2;;52;396;1;4;58;105;12;32;212;8
594;Labelle;2022-10-03;G;Kiamika, m;1;;53;340;1;6;47;84;15;12;165;3
594;Labelle;2022-10-03;G;Kiamika, m;1;;54;338;2;14;37;98;10;8;169;5
594;Labelle;2022-10-03;G;Saint-Aimé-du-Lac-des-Îles, m;1;;55;350;1;10;33;82;25;22;173;5
594;Labelle;2022-10-03;G;Saint-Aimé-du-Lac-des-Îles, m;1;;56;354;2;7;34;85;15;20;163;3
594;Labelle;2022-10-03;G;Notre-Dame-de-Pontmain, m;1;;57;377;0;11;31;105;17;12;176;2
594;Labelle;2022-10-03;G;Notre-Dame-de-Pontmain, m;1;;58;370;2;3;23;107;27;16;178;5
594;Labelle;2022-10-03;G;Notre-Dame-du-Laus, m;1;;59;382;0;6;15;79;13;6;119;1
594;Labelle;2022-10-03;G;Notre-Dame-du-Laus, m;1;;60;375;0;11;20;64;11;3;109;0
594;Labelle;2022-10-03;G;Notre-Dame-du-Laus, m;1;;61;384;1;9;18;50;14;4;96;0
594;Labelle;2022-10-03;G;Notre-Dame-du-Laus, m;1;;62;376;0;12;11;73;17;6;119;4
594;Labelle;2022-10-03;G;Lac-du-Cerf, m;1;;63;396;2;5;30;57;10;11;115;3
594;Labelle;2022-10-03;G;Lac-Saguay, vl;1;;64;213;0;2;12;29;18;13;74;3
594;Labelle;2022-10-03;G;Lac-Saguay, vl;1;;65;216;2;9;20;45;12;11;99;0
594;Labelle;2022-10-03;G;Nominingue, m;1;;66;376;4;5;44;77;21;18;169;0
594;Labelle;2022-10-03;G;Nominingue, m;1;;67;371;1;4;44;81;13;17;160;3
594;Labelle;2022-10-03;G;Nominingue, m;1;;68;372;3;9;30;92;19;22;175;0
594;Labelle;2022-10-03;G;Nominingue, m;1;;69;378;1;8;44;90;14;19;176;4
594;Labelle;2022-10-03;G;Nominingue, m;1;;70;378;2;9;35;86;9;23;164;2
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;71;368;2;3;38;56;14;13;126;0
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;72;354;3;2;33;50;15;12;115;3
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;73;368;1;4;19;57;10;9;100;2
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;74;367;1;5;20;47;10;7;90;4
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;75;362;5;5;30;50;22;8;120;3
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;76;375;4;1;27;49;18;14;113;0
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;77;368;0;2;23;64;12;15;116;3
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;;78;360;2;7;25;47;13;19;113;6
594;Labelle;2022-10-03;G;Rivière-Rouge, v;2;;79;309;3;5;21;80;6;11;126;0
594;Labelle;2022-10-03;G;Rivière-Rouge, v;2;;80;316;0;4;22;63;20;13;122;0
594;Labelle;2022-10-03;G;Rivière-Rouge, v;2;;81;304;5;4;23;72;15;20;139;6
594;Labelle;2022-10-03;G;L'Ascension, m;1;;82;406;5;7;48;95;22;15;192;0
594;Labelle;2022-10-03;G;L'Ascension, m;1;;83;399;5;5;35;112;21;28;206;1
594;Labelle;2022-10-03;G;La Macaza, m;1;;84;390;0;10;28;66;15;21;140;2
594;Labelle;2022-10-03;G;La Macaza, m;1;;85;389;4;13;31;73;30;18;169;1
594;Labelle;2022-10-03;G;Lac-Tremblant-Nord, m;1;;86;60;2;9;5;12;4;2;34;0
594;Labelle;2022-10-03;G;Labelle, m;1;;87;366;3;9;33;69;9;19;142;3
594;Labelle;2022-10-03;G;Labelle, m;1;;88;367;2;6;33;50;21;30;142;2
594;Labelle;2022-10-03;G;Labelle, m;1;;89;373;2;6;17;49;23;22;119;4
594;Labelle;2022-10-03;G;Labelle, m;1;;90;359;0;7;36;59;23;20;145;5
594;Labelle;2022-10-03;G;Labelle, m;1;;91;372;1;5;30;65;24;14;139;2
594;Labelle;2022-10-03;G;Labelle, m;1;;92;372;1;10;40;67;21;6;145;1
594;Labelle;2022-10-03;G;La Minerve, m;1;;93;383;2;19;58;90;14;19;202;1
594;Labelle;2022-10-03;G;La Minerve, m;1;;94;392;2;14;39;128;14;24;221;2
594;Labelle;2022-10-03;G;La Minerve, m;1;;95;389;5;11;36;115;10;15;192;1
594;Labelle;2022-10-03;G;Amherst, ct;1;;96;272;3;15;39;55;7;16;135;2
594;Labelle;2022-10-03;G;Amherst, ct;1;;97;280;0;8;27;75;7;12;129;1
594;Labelle;2022-10-03;G;Amherst, ct;2;;98;281;1;3;24;46;19;16;109;2
594;Labelle;2022-10-03;G;Amherst, ct;2;;99;277;1;10;22;64;25;6;128;1
594;Labelle;2022-10-03;G;Amherst, ct;2;;100;280;1;1;18;38;23;20;101;2
594;Labelle;2022-10-03;G;Huberdeau, m;1;;101;363;3;9;36;105;25;22;200;3
594;Labelle;2022-10-03;G;Huberdeau, m;1;;102;371;4;11;52;85;27;31;210;3
594;Labelle;2022-10-03;G;Brébeuf, p;1;;103;286;1;3;40;70;20;28;162;2
594;Labelle;2022-10-03;G;Brébeuf, p;1;;104;289;2;3;46;72;11;25;159;1
594;Labelle;2022-10-03;G;Brébeuf, p;1;;105;283;2;16;21;65;30;13;147;5
594;Labelle;2022-10-03;G;La Conception, m;1;;106;309;4;8;46;63;5;20;146;0
594;Labelle;2022-10-03;G;La Conception, m;1;;107;318;3;9;32;63;33;32;172;5
594;Labelle;2022-10-03;G;La Conception, m;1;;108;325;4;12;33;67;27;26;169;4
594;Labelle;2022-10-03;G;La Conception, m;1;;109;318;4;5;37;61;18;38;163;5
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;110;384;4;17;22;58;11;24;136;4
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;111;384;0;10;20;76;15;29;150;1
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;112;408;5;9;16;61;17;22;130;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;113;372;3;14;29;41;9;27;123;1
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;114;390;0;7;29;49;14;15;114;5
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;115;390;2;6;39;73;12;9;141;2
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;116;377;0;10;34;58;15;27;144;1
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;;117;377;4;7;22;67;29;36;165;2
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;118;400;1;6;40;91;12;31;181;1
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;119;410;2;13;25;69;22;26;157;2
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;120;398;4;10;20;74;11;33;152;6
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;121;403;0;18;31;75;20;39;183;4
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;122;387;2;12;32;54;16;43;159;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;123;398;0;3;16;45;26;35;125;1
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;124;391;4;3;28;67;10;17;129;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;125;405;2;7;30;64;32;30;165;3
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;126;397;1;13;34;61;21;18;148;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;127;391;2;15;29;49;56;23;174;2
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;;128;397;0;23;19;68;29;18;157;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;129;357;1;27;31;47;14;18;138;4
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;130;352;2;15;27;45;20;19;128;2
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;131;347;4;16;21;55;25;42;163;3
594;Labelle;2022-10-03;G;Mont-Tremblant, v;3;;132;355;1;33;18;80;9;6;147;3
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;133;394;5;23;59;70;14;16;187;2
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;134;392;0;8;37;72;25;31;173;5
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;135;393;1;3;26;66;23;36;155;2
594;Labelle;2022-10-03;G;Lac-Supérieur, m;1;;136;395;0;12;36;69;26;38;181;2
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;137;379;1;4;24;42;31;32;134;5
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;138;378;0;7;41;61;36;27;172;3
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;139;381;1;6;15;80;14;24;140;4
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;140;385;0;6;38;57;28;31;160;1
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;141;380;1;10;43;68;29;32;183;2
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;142;383;2;8;28;58;20;24;140;5
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;143;378;1;6;39;60;24;25;155;1
594;Labelle;2022-10-03;G;Mont-Blanc, m;1;;144;384;2;13;27;60;18;11;131;1
594;Labelle;2022-10-03;G;Ferme-Neuve, m;1;Regr. BVO-13;500;45;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;3;Regr. BVO-43;501;26;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;4;Regr. BVO-42;502;65;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;4;Regr. BVO-31;503;61;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Laurier, v;5;Regr. BVO-39;504;181;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;Regr. BVO-74;505;47;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;Regr. BVO-77;506;33;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Rivière-Rouge, v;1;Regr. BVO-76;507;53;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Huberdeau, m;1;Regr. BVO-100;508;24;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;Regr. BVO-118;509;17;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;1;Regr. BVO-111;510;83;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;Regr. BVO-110;511;28;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Mont-Tremblant, v;2;Regr. BVO-113;512;53;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;BVA1: SV no 11 à 16;;;;0;5;24;111;382;26;36;584;3
594;Labelle;2022-10-03;G;BVA2: SV no 1 à 8;;;;0;0;9;44;184;24;16;277;1
594;Labelle;2022-10-03;G;BVA3: SV no 17 à 18, 28 à 30, 55 à 56;;;;0;2;13;66;275;20;46;422;3
594;Labelle;2022-10-03;G;BVA4: SV no 19 à 23, 25;;;;0;2;9;79;347;48;38;523;5
594;Labelle;2022-10-03;G;BVA5: SV no 26 à 27, 36 à 38, 48;;;;0;1;19;92;325;19;45;501;5
594;Labelle;2022-10-03;G;BVA6: SV no 24, 31 à 32, 45 à 47;;;;0;6;21;99;371;33;55;585;2
594;Labelle;2022-10-03;G;BVA7: SV no 34 à 35, 39 à 40, 49 à 50;;;;0;0;12;89;301;43;40;485;2
594;Labelle;2022-10-03;G;BVA8: SV no 33, 41 à 44, 51 à 52;;;;0;3;25;88;383;28;45;572;4
594;Labelle;2022-10-03;G;BVA9: SV no 53 à 54, 57 à 58, 63;;;;0;2;14;60;236;23;17;352;2
594;Labelle;2022-10-03;G;BVA10: SV no 59 à 62;;;;0;2;12;60;367;32;15;488;1
594;Labelle;2022-10-03;G;BVA11: SV no 71, 75, 77 à 78, 82 à 83;;;;0;1;15;101;343;38;36;534;5
594;Labelle;2022-10-03;G;BVA12: SV no 66 à 70, 72 à 73;;;;0;5;20;118;369;30;37;579;7
594;Labelle;2022-10-03;G;BVA13: SV no 74, 76, 79 à 81, 84 à 85;;;;0;5;23;82;345;44;37;536;6
594;Labelle;2022-10-03;G;BVA14: SV no 87 à 89, 92;;;;0;1;16;66;248;32;24;387;5
594;Labelle;2022-10-03;G;BVA15: SV no 90 à 91, 93 à 95;;;;0;0;19;66;250;23;26;384;2
594;Labelle;2022-10-03;G;BVA16: SV no 103 à 109, 113, 121;;;;0;5;23;89;235;32;38;422;8
594;Labelle;2022-10-03;G;BVA17: SV no 114 à 118, 123, 130;;;;0;0;72;114;356;45;65;652;5
594;Labelle;2022-10-03;G;BVA18: SV no 119 à 120, 125 à 129;;;;0;2;36;114;343;55;43;593;3
594;Labelle;2022-10-03;G;BVA19: SV no 86, 110 à 112, 122, 124, 131 à 132;;;;0;2;70;96;427;34;44;673;3
594;Labelle;2022-10-03;G;BVA20: SV no 133 à 134, 139 à 142;;;;0;1;23;110;303;32;54;523;9
594;Labelle;2022-10-03;G;BVA21: SV no 135 à 138, 143 à 144;;;;0;5;20;120;268;49;59;521;4
594;Labelle;2022-10-03;G;BVA22: SV no 96 à 102;;;;0;3;16;56;211;25;27;338;12
594;Labelle;2022-10-03;G;BVA23: SV no 9 à 10;;;;0;1;7;39;175;11;18;251;2
594;Labelle;2022-10-03;G;BVA24: SV no 64 à 65;;;;0;0;4;21;81;11;5;122;1
594;Labelle;2022-10-03;G;Vote en installation d'hébergement;;;;0;11;41;42;375;16;12;497;28
594;Labelle;2022-10-03;G;Vote itinérant et au domicile de l'électeur;;;;0;2;5;17;47;2;2;75;9
594;Labelle;2022-10-03;G;Vote au bureau du directeur du scrutin;;;;0;11;37;159;431;62;154;854;8
594;Labelle;2022-10-03;G;Vote dans les établissements d'enseignement;;Regr. BVDS-1;;0;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Vote hors circonscription;;;;0;6;21;53;82;26;156;344;7
594;Labelle;2022-10-03;G;Vote hors Québec;;Regr. VHC-1;;16;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Vote des détenus;;Regr. VHC-1;;47;0;0;0;0;0;0;0;0
594;Labelle;2022-10-03;G;Total de la circonscription;;;;52028;313;1679;6366;17662;3173;4079;33272;622
594;Labelle;2022-10-03;G;Majorité en faveur de Chantale Jeannotte : 11296;;;;;;;;;;;;
